shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1221_shp,42.4537200,-76.4737200,28166,11083.8304500
1221_shp,42.4540000,-76.4736300,28167,11188.7252940
1221_shp,42.4543100,-76.4736100,28168,11301.8313690
1221_shp,42.4545800,-76.4736600,28169,11401.1518030
1221_shp,42.4550700,-76.4738400,28170,11586.2180050
1221_shp,42.4552300,-76.4738500,28171,11644.5912520
1221_shp,42.4553500,-76.4736500,28172,11714.0596750
1221_shp,42.4554000,-76.4736000,28173,11736.7340090
1221_shp,42.4568100,-76.4741600,28174,12272.3607210
1221_shp,42.4567800,-76.4733300,28175,12496.6173270
1221_shp,42.4567900,-76.4730800,28176,12564.1825440
1221_shp,42.4568200,-76.4728400,28177,12629.8670290
1221_shp,42.4568700,-76.4725500,28178,12710.2219010
1221_shp,42.4568600,-76.4723100,28179,12775.0924540
1221_shp,42.4568000,-76.4720800,28180,12840.9010030
1221_shp,42.4567100,-76.4719200,28181,12895.1249810
1221_shp,42.4566200,-76.4717900,28182,12943.1524240
1221_shp,42.4564900,-76.4716900,28183,12997.6769400
1221_shp,42.4563500,-76.4716400,28184,13050.4530360
1222_shp,42.4563300,-76.4716000,28185,0.0000000
1222_shp,42.4563100,-76.4715800,28186,9.0696860
1222_shp,42.4561500,-76.4715600,28187,67.6297920
1222_shp,42.4560100,-76.4715800,28188,118.9364670
1222_shp,42.4559100,-76.4716200,28189,156.9458550
1222_shp,42.4557800,-76.4716800,28190,207.0140370
1222_shp,42.4556600,-76.4718400,28191,268.4718050
1222_shp,42.4555900,-76.4720000,28192,318.6244440
1222_shp,42.4555200,-76.4722600,28193,393.2850430
1222_shp,42.4554800,-76.4726900,28194,510.2424570
1222_shp,42.4554700,-76.4730900,28195,618.2531790
1222_shp,42.4553800,-76.4735800,28196,754.4981500
1222_shp,42.4568400,-76.4742000,28197,1312.2721110
1222_shp,42.4567700,-76.4747200,28198,1454.9031220
1222_shp,42.4567700,-76.4747200,28199,1454.9031220
1222_shp,42.4566700,-76.4760000,28200,1802.2509730
1222_shp,42.4567100,-76.4771700,28201,2118.3326810
1222_shp,42.4567100,-76.4771700,28202,2118.3326810
1222_shp,42.4568300,-76.4784600,28203,2469.1979440
1222_shp,42.4568000,-76.4790300,28204,2623.4103640
1222_shp,42.4563800,-76.4809600,28205,3166.2818830
1222_shp,42.4563800,-76.4809600,28206,3166.2818830
1222_shp,42.4563000,-76.4813000,28207,3262.5581730
1222_shp,42.4551200,-76.4808000,28208,3713.2733840
1222_shp,42.4549300,-76.4809200,28209,3789.7164000
1222_shp,42.4547000,-76.4813800,28210,3939.5081140
1222_shp,42.4545200,-76.4814800,28211,4010.4422540
1222_shp,42.4544400,-76.4813300,28212,4060.3301070
1222_shp,42.4541500,-76.4810300,28213,4193.4657810
1222_shp,42.4536800,-76.4807200,28214,4384.0937910
1222_shp,42.4533600,-76.4807900,28215,4502.2356540
1222_shp,42.4531600,-76.4809900,28216,4592.9340500
1222_shp,42.4531600,-76.4809900,28217,4592.9340500
1222_shp,42.4530900,-76.4810800,28218,4628.1588850
1222_shp,42.4532000,-76.4811700,28219,4675.0319150
1222_shp,42.4535900,-76.4817400,28220,4884.4744740
1222_shp,42.4536900,-76.4823400,28221,5050.4535150
1222_shp,42.4535700,-76.4847100,28222,5691.5647790
1222_shp,42.4536200,-76.4859300,28223,6021.3236030
1222_shp,42.4538100,-76.4868200,28224,6271.2991570
1222_shp,42.4538100,-76.4868200,28225,6271.2991570
1222_shp,42.4538200,-76.4869300,28226,6301.2088400
1222_shp,42.4538200,-76.4870800,28227,6341.6908630
1222_shp,42.4538200,-76.4871800,28228,6368.6788790
1222_shp,42.4537900,-76.4873600,28229,6418.4724670
1222_shp,42.4537700,-76.4875100,28230,6459.6054670
1222_shp,42.4537500,-76.4876800,28231,6506.0605160
